,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
104,Community & Neighbors,724,724,EUR,861.1256,861.1256,100.0,"Created May 3, 2020",2020-05-03,US,28,false
105,Accidents & Emergencies,40,40,USD,40.0,40.0,100.0,"Created July 25, 2020",2020-07-25,US,1,false
106,"Medical, Illness & Healing",5102,8000,EUR,6068.3188,9515.2,63.77499999999999,Created 4 days ago,2021-04-17,US,100,false
107,"Medical, Illness & Healing",6623,20000,USD,6623.0,20000.0,33.115,Created 4 days ago,2021-04-16,US,131,false
108,"Medical, Illness & Healing",12937,40000,USD,12937.0,40000.0,32.3425,Created 7 days ago,2021-04-13,US,114,false
109,"Medical, Illness & Healing",2509,20000,USD,2509.0,20000.0,12.545,Created 5 days ago,2021-04-15,US,33,false
110,"Medical, Illness & Healing",4173,10500,USD,4173.0,10500.0,39.74285714285714,"Created March 10, 2021",2021-03-10,US,79,false
111,"Medical, Illness & Healing",8607,20000,USD,8607.0,20000.0,43.035000000000004,"Created March 14, 2021",2021-03-14,US,132,false
112,"Medical, Illness & Healing",11444,20000,USD,11444.0,20000.0,57.220000000000006,"Created April 4, 2021",2021-04-04,US,102,false
113,"Medical, Illness & Healing",10250,13000,EUR,12191.35,15462.2,78.84615384615384,"Created April 16, 2020",2020-04-16,US,184,false
114,"Medical, Illness & Healing",9839,47600,USD,9839.0,47600.0,20.67016806722689,"Created September 29, 2020",2020-09-29,US,159,false
115,"Medical, Illness & Healing",5000,10000,USD,5000.0,10000.0,50.0,"Created March 24, 2021",2021-03-24,US,61,false
116,"Medical, Illness & Healing",21315,40000,USD,21315.0,40000.0,53.2875,"Created March 22, 2021",2021-03-22,US,235,false
117,"Medical, Illness & Healing",1620,5000,USD,1620.0,5000.0,32.4,"Created March 30, 2021",2021-03-30,US,38,false
118,"Babies, Kids & Family",7924,20000,USD,7924.0,20000.0,39.62,"Created April 7, 2021",2021-04-07,US,73,false
119,"Medical, Illness & Healing",10479,20000,USD,10479.0,20000.0,52.395,"Created September 13, 2020",2020-09-13,US,148,false
120,"Medical, Illness & Healing",4468,,GBP,6200.689816111267,,,"Created October 8, 2020",2020-10-08,US,105,false
121,Funerals & Memorials,5543,15000,USD,5543.0,15000.0,36.95333333333333,"Created March 20, 2021",2021-03-20,US,91,false
