Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-04-22,74.3826881328099,34.9955753328974,126.363727133741,13.0
2020-04-23,79.7068323237586,37.8730882855526,134.204627338482,15.28571
2020-04-24,85.7129609933873,41.580254869041,142.60575197024,16.28571
2020-04-25,92.4660527146991,44.3166156769594,151.720829667236,13.71429
2020-04-26,100.034829529457,49.1747152796384,164.690004138721,9.85714
2020-04-27,108.491250807358,54.3495068559753,179.073589171209,10.42857
2020-04-28,117.912097026436,59.3656178534331,194.072841454026,6.28571
2020-04-29,128.378111226397,65.2289797495183,211.042526369052,6.14286
2020-04-30,139.973701833751,72.470064367153,226.934007839477,3.14286
2020-05-01,152.785686684618,79.8884093696271,248.352039181421,2.42857
2020-05-02,166.901556353482,85.517961929801,278.419613401144,3.14286
2020-05-03,182.407509565576,94.7674180592599,301.317698601893,4.57143
2020-05-04,199.388427861101,103.771300153738,334.188078628031,4.0
2020-05-05,217.925835658152,113.052743314531,362.603768385405,4.57143
2020-05-06,238.096066250218,124.633957825472,400.09982761216,6.85714
2020-05-07,259.966476491475,136.406251853669,435.266407316969,6.85714
2020-05-08,283.593862582643,149.308711833186,483.557772940721,7.57143
2020-05-09,309.024397925666,162.591860765461,537.642894505375,8.14286
2020-05-10,336.292256250997,179.060829117408,585.071425632509,8.14286
2020-05-11,365.414221446476,193.412934119105,643.081704297488,9.28571
2020-05-12,396.389788598215,214.900267821481,683.448928032082,8.85714
2020-05-13,429.202464928386,233.907317928015,741.594284375677,6.28571
2020-05-14,463.819265087211,255.15297473649,801.244340774984,10.57143
2020-05-15,500.19500238823,275.381268907033,868.807990691554,10.14286
2020-05-16,538.261689315753,293.461910828262,927.852964724637,14.57143
2020-05-17,577.93420405932,312.656126119914,1005.46274280486,18.14286
2020-05-18,619.109709996595,336.588211888349,1067.40979814118,28.0
2020-05-19,661.669106569589,355.474023383357,1123.31713866562,46.57143
2020-05-20,705.483313198091,383.533092051445,1186.40532226733,57.28571
2020-05-21,750.417218786368,409.634916374697,1286.34497086043,61.0
2020-05-22,796.336010774955,436.940340537509,1356.57147936933,69.28571
2020-05-23,843.106513847587,462.963290582104,1421.00056790403,72.28571
2020-05-24,890.605086658166,490.539781599628,1513.33407554517,82.85714
2020-05-25,938.718558843676,518.624213071227,1584.56931687471,79.85714
2020-05-26,987.359026467921,550.58561867956,1642.94623053647,66.0
2020-05-27,1036.48570223304,577.322421364357,1719.29121612146,60.14286
2020-05-28,1086.07353528899,610.508817627867,1799.32632463266,63.28571
2020-05-29,1136.08356483425,639.577475582831,1890.41551619403,60.85714
2020-05-30,1186.47245523672,666.503740390716,1990.60787238401,64.14286
2020-05-31,1237.20007154862,692.07786772854,2009.66589335355,55.57143
2020-06-01,1288.23212793131,719.663150163979,2097.10059895664,69.28571
2020-06-02,1339.56579518763,756.164501640459,2192.5175400595,86.85714
2020-06-03,1391.23041935739,775.047863511081,2225.30944951136,101.0
2020-06-04,1443.2593258136,820.931878200007,2287.51506942179,108.85714
2020-06-05,1495.66673820615,865.854659861426,2358.56988140086,110.71429
2020-06-06,1548.46624307131,900.793434166449,2440.42784927223,122.42857
2020-06-07,1601.6795623344,953.8010717383,2556.31875149904,123.85714
2020-06-08,1655.34322895969,985.206894281158,2638.48035558707,115.85714
2020-06-09,1709.50128960749,1030.64040933654,2727.58839405115,116.14286
2020-06-10,1764.18649842071,1035.07041898117,2818.41591332207,112.28571
2020-06-11,1819.43641551602,1078.53609891343,2903.88062520869,103.85714
2020-06-12,1875.30065902974,1113.24837966605,3005.70760979307,104.85714
2020-06-13,1931.83777352178,1134.65508994194,3127.11215635668,84.0
2020-06-14,1989.1251326097,1169.10769051049,3157.30160888313,85.85714
2020-06-15,2047.25709975838,1217.55407226278,3257.23668487967,84.14286
2020-06-16,2106.31844565861,1243.02965208931,3355.57386385074,74.0
2020-06-17,2166.36977470202,1267.0716814747,3481.26100832996,92.57143
2020-06-18,2227.45846038127,1292.86955911445,3624.99246861399,95.57143
2020-06-19,2289.64103791235,1319.98097742578,3705.08602659066,101.71429
2020-06-20,2352.991520478,1357.97032451351,3808.27224758422,126.42857
2020-06-21,2417.61527094753,1394.1840034156,3954.38296522672,134.14286
2020-06-22,2483.61257305752,1441.75611214469,4062.69625965092,140.85714
2020-06-23,2551.03923961677,1496.16084395723,4145.17145371143,148.14286
2020-06-24,2619.85601602383,1524.19059343248,4229.33561612726,140.0
2020-06-25,2689.9849820258,1572.88250329573,4313.53184039461,154.28571
2020-06-26,2761.38319792199,1597.00565638301,4389.57067573038,169.71429
2020-06-27,2834.0744958659,1674.13344963361,4465.35799783904,191.57143
2020-06-28,2908.10129150143,1707.56196852725,4541.64295111781,197.14286
2020-06-29,2983.50184696686,1774.23706105864,4631.67032504957,211.71429
2020-06-30,3060.30538206012,1860.7307680859,4744.73260597106,235.0
2020-07-01,3138.48559663592,1877.34204846381,4879.05859817239,242.28571
2020-07-02,3217.968434176,1948.63605220211,5034.91746109702,244.28571
2020-07-03,3298.66415214228,1986.06392422958,5211.61798413586,251.14286
2020-07-04,3380.41894989991,2029.51096807163,5364.6256011701,231.42857
2020-07-05,3463.03799950664,2079.24899633953,5438.65205302583,267.42857
2020-07-06,3546.3511703995,2177.0766661509,5602.05644422024,268.71429
2020-07-07,3630.26845766032,2251.06163095889,5649.09105411931,265.85714
2020-07-08,3714.68518821001,2273.97483972095,5780.00930059042,278.0
2020-07-09,3799.46576355164,2339.93675876132,5967.0720299832,299.85714
2020-07-10,3884.47049352961,2365.82250106753,6090.87991609451,323.71429
2020-07-11,3969.55315847524,2409.20486338707,6277.02117292109,346.85714
2020-07-12,4054.57770085874,2427.0024623552,6334.90587314459,328.0
2020-07-13,4139.44578473153,2473.81176658929,6478.25187428855,328.0
2020-07-14,4224.05620119351,2525.171850361,6589.77635825551,331.0
2020-07-15,4308.29322341396,2571.15786684589,6731.68909395394,345.71429
2020-07-16,4392.05645512539,2621.10138531714,6911.09189842899,354.57143
2020-07-17,4475.21545985785,2645.96445771248,7054.21384043729,341.14286
2020-07-18,4557.64605576654,2656.87643610283,7166.82440424148,329.28571
2020-07-19,4639.24040576647,2684.63964360668,7259.45999636769,346.57143
