launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-06-09,37021.41409902521,32209.985527596644,1680.7142857142858,33890.69981331093
2020-06-10,34623.842670453785,30781.414099025216,966.4285714285714,31747.84267045379
2020-06-11,12791.699999999999,9798.842857142856,966.4285714285714,10765.271428571426
2020-06-12,24477.728571428568,8221.871428571427,966.4285714285714,9188.299999999997
2020-06-13,39225.58571428571,8936.157142857142,714.2857142857143,9650.442857142856
2020-06-14,38592.47142857143,9660.185714285713,714.2857142857143,10374.471428571427
2020-06-15,37739.74285714286,9262.457142857143,714.2857142857143,9976.742857142857
2020-06-16,39454.02857142857,11691.028571428571,0.0,11691.028571428571
2020-06-17,69739.74285714285,11691.028571428571,0.0,11691.028571428571
2020-06-18,66882.59999999999,8833.885714285714,0.0,8833.885714285714
2020-06-19,58336.59999999999,12765.171428571428,785.7142857142857,13550.885714285714
2020-06-20,43989.457142857136,11622.314285714285,1867.142857142857,13489.457142857142
2020-06-21,43423.42857142857,11270.57142857143,1867.142857142857,13137.714285714286
2020-06-22,50280.57142857143,17984.85714285714,1867.142857142857,19852.0
2020-06-23,54280.57142857143,15127.714285714286,2581.4285714285716,17709.14285714286
2020-06-24,29972.14285714286,21105.0,2581.4285714285716,23686.428571428572
2020-06-25,33625.71428571428,24758.571428571428,2581.4285714285716,27340.0
2020-06-26,30050.82285714286,21901.428571428572,1795.7142857142858,23697.14285714286
2020-06-27,33219.39428571429,25472.85714285714,1214.2857142857142,26687.142857142855
2020-06-28,32047.997051379498,24301.459908522356,1214.2857142857142,25515.74562280807
2020-06-29,23476.568479950925,15872.888479950927,1214.2857142857142,17087.174194236643
2020-06-30,26122.711337093788,24947.602765665215,500.0,25447.602765665215
2020-07-01,23716.854194236646,22398.88847995093,500.0,22898.88847995093
2020-07-02,21133.271337093785,18745.3170513795,500.0,19245.3170513795
2020-07-03,24937.591337093785,22403.3170513795,500.0,22903.3170513795
2020-07-04,22190.532942686295,20049.115799829156,0.0,20049.115799829156
2020-07-05,32331.64446273537,23047.370177021083,0.0,23047.370177021083
2020-07-06,36410.87874844966,25732.661605592508,0.0,25732.661605592508
2020-07-07,57185.735891306795,43221.80446273537,3714.285714285714,46936.090177021084
2020-07-08,65450.25017702109,41832.20446273537,7171.428571428572,49003.63303416394
2020-07-09,65808.83303416394,43260.775891306796,7171.428571428572,50432.20446273537
2020-07-10,65943.26160559252,39617.91874844965,7171.428571428572,46789.34731987822
2020-07-11,67039.43428571428,38702.83428571428,7171.428571428572,45874.26285714285
2020-07-12,78498.29142857144,36161.69142857142,7171.428571428572,43333.119999999995
2020-07-13,74419.05714285714,33476.399999999994,7171.428571428572,40647.82857142857
2020-07-14,58426.62857142858,21198.257142857143,3457.1428571428573,24655.4
2020-07-15,48610.17142857143,21178.771428571432,0.0,21178.771428571432
2020-07-16,52895.88571428571,24035.91428571429,1428.5714285714287,25464.485714285718
2020-07-17,53975.74285714285,28893.057142857146,1428.5714285714287,30321.628571428573
2020-07-18,57632.057142857135,34846.34285714286,1428.5714285714287,36274.91428571429
2020-07-19,36346.34285714286,33846.34285714286,1428.5714285714287,35274.91428571429
2020-07-20,74830.31039999999,71361.91040000001,1428.5714285714287,72790.48182857144
2020-07-21,60544.59611428571,57076.19611428572,1428.5714285714287,58504.767542857146
2020-07-22,64885.82468571428,61411.710399999996,1434.2857142857142,62845.996114285714
2020-07-23,61100.1104,58840.281828571424,5.714285714285714,58845.99611428571
2020-07-24,66982.03897142857,64154.56754285714,362.85714285714283,64517.424685714286
2020-07-25,61905.181828571425,59077.710399999996,362.85714285714283,59440.56754285714
2020-07-26,60805.181828571425,58791.996114285714,362.85714285714283,59154.85325714286
2020-07-27,23096.54,22051.754285714287,362.85714285714283,22414.61142857143
2020-07-28,23925.11142857143,22766.04,362.85714285714283,23128.897142857142
2020-07-29,19707.254285714287,18553.897142857142,357.14285714285717,18911.04
2020-07-30,21850.11142857143,19696.754285714287,1571.4285714285713,21268.18285714286
2020-07-31,16753.897142857142,15382.468571428572,1214.2857142857142,16596.754285714287
2020-08-01,18218.182857142856,16346.754285714285,1214.2857142857142,17561.04
2020-08-02,32353.897142857142,29096.754285714287,2642.8571428571427,31739.61142857143
2020-08-03,36650.0,28607.14285714286,4071.4285714285716,32678.57142857143
2020-08-04,44153.68571428571,31939.399999999998,8357.142857142857,40296.54285714286
2020-08-05,44867.97142857143,32653.68571428571,8357.142857142857,41010.82857142857
2020-08-06,42105.52857142857,29796.542857142857,7857.142857142857,37653.68571428571
2020-08-07,41738.95714285714,29429.971428571425,7857.142857142857,37287.114285714284
2020-08-08,45648.38284415463,30889.111415583204,10807.42857142857,41696.539987011776
2020-08-09,61812.668558440346,48281.96855844035,9378.857142857143,57660.825701297494
2020-08-10,63884.09712986892,55139.11141558321,7950.285714285715,63089.39712986893
2020-08-11,57799.139987011775,52197.011415583205,4807.428571428572,57004.43998701178
2020-08-12,57601.522844154635,50570.82284415463,4807.428571428572,55378.2514155832
2020-08-13,58117.62280681682,51999.394272726066,4093.1428571428564,56092.53712986892
2020-08-14,52530.737092531104,46412.50855844035,4093.1428571428564,50505.651415583205
2020-08-15,48264.16853409076,45096.225714285705,1142.857142857143,46239.08285714285
2020-08-16,39391.0256769479,22137.368571428575,1142.857142857143,23280.225714285716
2020-08-17,40105.31139123362,18494.51142857143,1214.2857142857142,19708.797142857144
2020-08-18,67583.21139123362,47115.26857142857,71.42857142857143,47186.69714285714
2020-08-19,71272.6856769479,48661.885714285716,3642.8571428571427,52304.74285714286
2020-08-20,80047.59999999999,51404.74285714286,8642.857142857143,60047.600000000006
2020-08-21,86115.34285714288,50929.62857142858,15185.714285714286,66115.34285714287
2020-08-22,90034.62857142859,54634.62857142858,15185.714285714286,69820.34285714287
2020-08-23,75918.62857142858,54804.34285714286,15185.714285714286,69990.05714285714
2020-08-24,68990.05714285714,51304.34285714286,15757.142857142857,67061.48571428572
2020-08-25,40693.42857142857,21579.14285714286,15757.142857142857,37336.28571428572
2020-08-26,62887.28571428572,44773.0,13328.57142857143,58101.57142857143
2020-08-27,57422.57142857143,45736.857142857145,8328.57142857143,54065.42857142857
2020-08-28,57465.42857142857,50022.57142857143,3928.5714285714284,53951.142857142855
2020-08-29,63831.857142857145,52317.57142857143,5357.142857142857,57674.71428571428
2020-08-30,59978.142857142855,46178.142857142855,7642.857142857143,53821.0
2020-08-31,70907.82857142857,51010.4,13526.0,64536.4
2020-09-01,77764.97142857143,59296.114285714284,13526.0,72822.11428571428
2020-09-02,55379.599850648745,39482.17127922018,12383.142857142857,51865.314136363035
2020-09-03,69530.02842207732,53632.599850648745,12383.142857142857,66015.7427077916
2020-09-04,65801.4569935059,50061.17127922018,12383.142857142857,62444.314136363035
2020-09-05,56357.74270779161,42489.74270779161,12653.714285714286,55143.4569935059
2020-09-06,61889.1427077916,44592.571279220174,16082.285714285714,60674.85699350589
2020-09-07,51571.471279220175,41046.02842207732,9556.285714285714,50602.31413636303
